Category,Rank,Username,Topmate URL,,Category Metric,User ID,Profile Pic URL,Full Name,Short Bio
Booking Count,21,sharmilan_vipokan,https://topmate.io/sharmilan_vipokan,"'sharmilan_vipokan',",9897,142429,https://topmate-staging.s3.ap-south-1.amazonaws.com/pMUYYqeeLWoAwmgYU9ouno.png,Sharmilan Vipokan,"I'm dedicated to helping you land your dream IT job! With experience mentoring 1000+ candidates, I guide you through the job search process, from resume building to interview prep, ensuring your fully equipped to achieve your career goals."
Booking Count,22,kamalnanda,https://topmate.io/kamalnanda,"'kamalnanda',",9521,332842,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_13936e2b-e464-464b-8b55-e51c3bd9cc20.jpeg,Kamal Nanda,"Digital Marketing Manager in Canada & Freelancer
Empowering international students and newcomers to kickstart their careers in Canada."
Booking Count,23,rajat_jain01,https://topmate.io/rajat_jain01,"'rajat_jain01',",8696,346448,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/Rajat-Jain-1731575187.jpeg,Rajat Jain,Senior Data Analyst | Microsoft Certified Data Analyst | DAX | Power BI |  | Dashboard Developer | SQL | Power BI Trainer | Mentor | Data Visualization
Booking Count,24,karun,https://topmate.io/karun,"'karun',",8522,66736,https://static.topmate.io/u4K6MfUXfsxZ9438iKDHV4.jpg,Karun Thankachan,Top Data Mentor (2025) - Here to help you land you next Data Science role
Booking Count,25,shreya_mahendru,https://topmate.io/shreya_mahendru,"'shreya_mahendru',",8366,152345,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_2db39a8c-1e5b-441c-8258-13baa79fddfd.jpeg,Shreya Mahendru,"Product for Purpose ✨ | Product @Steer Health | IIM, ESCP drop-out"
Minutes,1,ayush_chaudhary,https://topmate.io/ayush_chaudhary,"'ayush_chaudhary',","81,585",228306,https://static.topmate.io/6TMGx19bms4XdGJvbfo1ur.jpg,Ayush Chaudhary,Psychologist | M.Sc in Clinical Psychology.
Minutes,2,bharat_varshney,https://topmate.io/bharat_varshney,"'bharat_varshney',","66,345",79957,https://static.topmate.io/2hbAXKJzP6GsDDrYXpGpLw.png,Bharat Varshney,"Technical QA Lead | 32K+ Followers | Top 0.1 Mentor | Team Leader & QA Trainer | Agile, DevOps & CI/CD Expert | Driving AI-Powered Test Innovation & Quality | BrowserStack Champion | Selectorshub Ambassdor | Community Contributor"
Minutes,3,ankit_lohiya,https://topmate.io/ankit_lohiya,"'ankit_lohiya',","39,120",265322,https://static.topmate.io/9HZRKNStzeevVZfBcREK4d.jpg,CA Ankit Lohiya,"CA | Mentoring CA Students, UPSC Aspirants and General Career Counselling 1:1 | 14k+ LinkedIn followers | Tax Columnist | M.Com"
Minutes,4,anurodh_kumar10,https://topmate.io/anurodh_kumar10,"'anurodh_kumar10',","34,965",216668,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_f31fd64d-7b7a-41b5-816c-9de582e9cb9f.jpeg,Anurodh Kumar,PowerBI Developer | Analyzing and Visualizing Data with Microsoft Power BI
Minutes,5,praveen_thopalle,https://topmate.io/praveen_thopalle,"'praveen_thopalle',","33,885",350566,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_19ef6326-b3cb-44e3-9dba-90f64394a75e.jpeg,praveen kumar,Senior Software Engineer at DELL EMC | Rator Fellow
